"WarehouseSKU","MappingSKU"
"BathroBlk","VARBathrobe1070,VARGarBraut1002,the bride-Robe&Tote-Black-custom,IQ-INWR-T5II,VARBathSlipTote1004,VA......"
"BathroWht","VARBathSlip1011,VARBathrobe1020,6U-ZEPL-V9K9,White_Bridesmaid__Bath_Sprime,VARBathrobe1088,VARBathro......"
"BlkHood1113","*Trex-Hoodie-BlkGrn_1113,RacingCar_Hoodie_BlkBlu_1113,ShamrockLace_Hood_Bl_1213,GITD_PausedGame_Hood......"
"BlkHood56","*Trex-Hoodie-BlkRed_56,CheekyMonkey_Hood_Bl_56,BattleRoyale_Hoodie_BlkGrn_56,Hoody-black-HorseFace-P......"
"BlkHood78","PRIME_BLK_TriplePose_Hood_78,GymHoodDanc1038,GymnastScroll_Hoodie_Clear_Black_7-8,HeartLace_Hoodie_C......"
"BlkHood910","Hoody-black-HorseFace-9-11-custom,LoveBaking_Hood_Bl_910,Born2CheerJump_Hood_Bl_910,RacingCar_Hoodie......"
"BlkShort1214","ShortsHeartL1004,SFP_ShortsSwirl1004,Shorts1010,PAN_Shooting_Star_Shorts_12-14_Clear,SFP_ShortsSwirl......"
"BlkShort35","GymShorts15,BM-0M8J-OBM4,42-BM4Z-LYLP,ShortsShootingS1013,SFP_ShortsSwirl1005,PAN_Heart_Lace_Shorts_......"
"BlkT-shirt56","SmileyStar_T-shirts_Clear_Black_5-6,Tiara_T-shirts_Clear_Black_5-6,Tiara_T-shirts_Blue_Black_5-6,Dia......"
"BlkToteBag","VARTotShower1006,PI-Z1IW-LGUS,VARTote100066,GirlsFootball_Tote_Black,Totebag-OT-SlipperBridesmaid-Bl......"
"BPnkT-shirt911","DaddyGirlSet_Blk,5HandStand1Tshirt_BPC_9-11,GymScroll_T-shirts_Pink_Babypink_9-1,UnicornFace_T-Shirt......"
"Cardi34","3/4_Pink_Cardigan"
"Cardi56","5/6_Pink_Cardigan"
"Cardi78","7/8_Pink_Cardigan"
"CloseTSlipper","H7-WJ0T-KIFL,SFP_Bride_To_Be_Ivory_Bathrobe_Slipper,Slip10043,VARBathSlip1005,BQ-S5K2-2TQ1,VARSlipTo......"
"CPHood1113","Born2Sparkle_Hood_CP_1213,SingerNote_Hood_CP_1213,MasteredScorpion_Hood_CP_1113,SuperHiker_Hood_CP_1......"
"CPHood56","SplitGymnast_CPPnk_56,BornASinger_Hood_CP_56,BornACheerLeader_Hood_CP_56,CutePenguin_Hood_CP_56,Mast......"
"CPHood910","PRIME_CHER_TriplePose_Hood_910,1BornToHike_Hood_CP_910,1CheekyMonkey_Hood_CP_910,BakingPrincess_Hood......"
"HouseSlipPnk","OJ-LVQD-5DJ9,VARBestHuseSlip1007,PAN_No1MUM_Slipper_TravelBag,VARBestHosSlip1003,Prime_no1_grandma,N......"
